#Lag. strain          XX           YY           ZZ           YZ           XZ           XY 
-0.0150000000       9.91491624       3.41373553       0.00000000       0.00000000       0.00000000       0.00000012
-0.0112500000       7.32968800       2.50020736       0.00000000       0.00000000       0.00000000       0.00000073
-0.0075000000       4.84779749       1.64432670       0.00000000       0.00000000       0.00000000      -0.00000099
-0.0037500000       2.46852577       0.83896038       0.00000000       0.00000000       0.00000000       0.00000063
+0.0001000000       0.15520606       0.05711178       0.00000000       0.00000000       0.00000000       0.00000026
+0.0037500000      -2.08272961      -0.77788271       0.00000000       0.00000000       0.00000000      -0.00000001
+0.0075000000      -4.19599244      -1.47006373       0.00000000       0.00000000       0.00000000       0.00000068
+0.0112500000      -6.23597003      -2.14630653       0.00000000       0.00000000       0.00000000      -0.00000041
+0.0150000000      -8.20922879      -2.83627363       0.00000000       0.00000000       0.00000000      -0.00000006
