#Lag. strain          XX           YY           ZZ           YZ           XZ           XY 
-0.0150000000       8.68300583       1.74451647       0.00000000       0.00000000       0.00000000       3.54491270
-0.0112500000       6.38645361       1.17167523       0.00000000       0.00000000       0.00000000       2.64506551
-0.0075000000       4.21484552       0.74258378       0.00000000       0.00000000       0.00000000       1.73914928
-0.0037500000       2.12962663       0.32993658       0.00000000       0.00000000       0.00000000       0.86890864
+0.0001000000       0.15520606       0.05711178       0.00000000       0.00000000       0.00000000       0.00000026
+0.0037500000      -1.76941980      -0.35093752       0.00000000       0.00000000       0.00000000      -0.82582040
+0.0075000000      -3.57181787      -0.60626827       0.00000000       0.00000000       0.00000000      -1.64522668
+0.0112500000      -5.29964780      -0.86301493       0.00000000       0.00000000       0.00000000      -2.43855267
+0.0150000000      -6.88666302      -0.89185704       0.00000000       0.00000000       0.00000000      -3.21741694
