#Phy. strain          XX           YY           ZZ           YZ           XZ           XY 
-0.0150000000   38.11017746       7.99305130       0.00000000       0.00000000       0.00000000      30.48102893
-0.0112500000   28.32248709       5.79228148       0.00000000       0.00000000       0.00000000      22.92054395
-0.0075000000   18.48175928       3.66856678       0.00000000       0.00000000       0.00000000      14.85966062
-0.0037500000   8.90332555       1.63492942       0.00000000       0.00000000       0.00000000       7.25334380
+0.0001000000   -0.14960426      -0.14960424       0.00000000       0.00000000       0.00000000       0.00000000
+0.0037500000   -8.55610839      -1.38136832       0.00000000       0.00000000       0.00000000      -7.15184446
+0.0075000000   -16.92806611      -2.64400324       0.00000000       0.00000000       0.00000000     -14.22371718
+0.0112500000   -24.65726506      -3.42837815       0.00000000       0.00000000       0.00000000     -21.15556576
+0.0150000000   -32.48752643      -4.02795182       0.00000000       0.00000000       0.00000000     -28.44914031
