#Lag. strain          XX           YY           ZZ           YZ           XZ           XY 
-0.0150000000      39.64196571       8.80470762       0.00000000       0.00000000       0.00000000      31.20116086
-0.0112500000      29.17581518       6.24992946       0.00000000       0.00000000       0.00000000      23.31622406
-0.0075000000      18.84869284       3.86597315       0.00000000       0.00000000       0.00000000      15.02918780
-0.0037500000       8.99176184       1.68344005       0.00000000       0.00000000       0.00000000       7.29326946
+0.0001000000      -0.14960426      -0.14960424       0.00000000       0.00000000       0.00000000       0.00000000
+0.0037500000      -8.47099969      -1.33313750       0.00000000       0.00000000       0.00000000      -7.11496658
+0.0075000000     -16.59257876      -2.45226125       0.00000000       0.00000000       0.00000000     -14.07997183
+0.0112500000     -23.91964494      -2.99674996       0.00000000       0.00000000       0.00000000     -20.84957383
+0.0150000000     -31.18358243      -3.24839329       0.00000000       0.00000000       0.00000000     -27.92475484
